country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
FRANCE	44341	05/06/2021	06/15/2021	0.094	1.2e-05	0.159	0.086	0.00019500521184977272	0.03593553055651497	3746	1063	63	757		0.11338003103212424	0.04487947664366876	0.841740492324207
FRANCE	44348	05/13/2021	06/22/2021	0.114	1.36e-05	0.181	0.085	0.000251660608258439	0.036702829319984066	3191	804	54	1291		0.11274273951448721	0.08537642975939883	0.8018808307261139
FRANCE	44355	05/20/2021	06/29/2021	0.125	1.15e-05	0.206	0.085	0.0003230451793262828	0.037247965323268725	3093	720	67	2316		0.13074008129013026	0.20839077887574195	0.6608691398341278
FRANCE	44362	05/27/2021	07/06/2021	0.118	5.7e-06	0.237	0.086	0.0004151876998129387	0.037594152329913075	2435	653	147	4411	61.5	0.1324853007321774	0.3839367513455145	0.48357794792230807
FRANCE	44369	06/03/2021	07/13/2021	0.119	3.9e-06	0.273	0.086	0.0005448864862282837	0.037803851604030235	2138	493	254	6903	50.38	0.1195402100839561	0.5670184065935616	0.3134413833224823
FRANCE	44376	06/10/2021	07/20/2021	0.105	3.8e-06	0.311	0.086	0.0007515695953806557	0.037915281034090295	1238	341	463	8478	54.44	0.07892536233648975	0.7178823504168304	0.2031922872466799
FRANCE	44383	06/17/2021	07/27/2021	0.097	4.3e-06	0.351	0.087	0.0011800548176147888	0.037979533869749046	1014	205	897	8889	93.43	0.036827882187662975	0.8507874041475434	0.11238471366479363
FRANCE	44390	06/24/2021	08/03/2021	0.092	7.3e-06	0.39	0.088	0.0019517455819224733	0.03802951205502371	743	104	1502	8323	145.75	0.0168077936270183	0.9232978808150766	0.05989432555790512
SWITZERLAND	44343	05/08/2021	06/17/2021	0.092	2.28e-05	0.207	0.079	0.00010085791525582394	0.017746734945288403	3545	468	36	188	87.91	0.059019410403509664	0.039497345099383394	0.9014832444971069
SWITZERLAND	44350	05/15/2021	06/24/2021	0.115	1.92e-05	0.239	0.08	0.00012857549887314453	0.01824618345483971	2914	269	44	404	65.31	0.059650337212685756	0.07960134006647994	0.8607483227208343
SWITZERLAND	44357	05/22/2021	07/01/2021	0.135	1.46e-05	0.272	0.08	0.00016268756184910517	0.01859615751363173	2338	162	62	937	48.34	0.06744278378242985	0.14181107749545624	0.790746138722114
SWITZERLAND	44364	05/29/2021	07/08/2021	0.145	1.45e-05	0.308	0.08	0.0002079375249810344	0.018826861605592632	1708	116	82	1837	32.5	0.07901289969792769	0.2982735422247345	0.6227135580773379
SWITZERLAND	44371	06/05/2021	07/15/2021	0.144	1.29e-05	0.344	0.081	0.00027944743498832156	0.018954425451439355	1137	88	116	2825	27.2	0.06127417522570183	0.6067114699607142	0.33201435481358393
SWITZERLAND	44378	06/12/2021	07/22/2021	0.144	1.63e-05	0.38	0.081	0.000404107997734116	0.01902148153397128	698	60	139	3719	31.45	0.03136343682208903	0.845190519730645	0.12344604344726601
IRELAND	44322	04/17/2021	05/27/2021	0.04	4.59e-05	0.114	0.05	4.0060237709993026e-05	0.02427134015559247	1523	1626	17	88	85.98	0.06534231273646918	0.024078645765105582	0.9105790414984253
IRELAND	44329	04/24/2021	06/03/2021	0.052	2.46e-05	0.133	0.051	5.6821831874473884e-05	0.024823296754527425	1708	1188	31	169	85.51	0.05622183806594583	0.026433613390036966	0.9173445485440173
IRELAND	44336	05/01/2021	06/10/2021	0.074	2.09e-05	0.155	0.052	8.288695642929608e-05	0.02535962728506465	1546	804	36	361	82.64	0.05255269029055376	0.034083397336587974	0.9133639123728583
IRELAND	44343	05/08/2021	06/17/2021	0.091	1.77e-05	0.18	0.052	0.0001280374469264281	0.025850404609841105	1582	706	42	702	78.63	0.05520620693241618	0.053701476648103944	0.8910923164194798
IRELAND	44350	05/15/2021	06/24/2021	0.106	1.47e-05	0.213	0.053	0.00020660693462877167	0.026287088462410547	1722	584	51	1182	74.87	0.053948376530814635	0.1364319684561047	0.8096196550130806
IRELAND	44357	05/22/2021	07/01/2021	0.12	1.2e-05	0.25	0.053	0.00033278296740651476	0.02665644508072863	1683	421	65	1995		0.03991505604474155	0.3273941340567437	0.6326908098985148
IRELAND	44364	05/29/2021	07/08/2021	0.13	9.3e-06	0.292	0.054	0.0005521841813774973	0.026951201942679505	1541	213	104	2557		0.02396407325476163	0.5096731154076476	0.4663628113375908
IRELAND	44371	06/05/2021	07/15/2021	0.119	8.7e-06	0.34	0.054	0.0008812756677148705	0.02716802652018031	1049	126	209	2940		0.014126263570662156	0.6834724900544661	0.30240124637487176
IRELAND	44378	06/12/2021	07/22/2021	0.108	1.06e-05	0.391	0.055	0.001395964634910941	0.027316026781104074	759	72	447	3210		0.005877725925497762	0.8388319006957924	0.15529037337870985
IRELAND	44385	06/19/2021	07/29/2021	0.11	1.93e-05	0.44	0.056	0.002176316747698823	0.027421467092613727	677	35	814	3428		0.0018280070484803096	0.9297365427523613	0.0684354501991584
NETHERLANDS	44343	05/08/2021	06/17/2021	0.098	1.44e-05	0.164	0.095	0.0002238304555935875	0.03487804787551378	4665	1683	48	847	179.85	0.04002744013102155	0.05319769041344161	0.9067748694555369
NETHERLANDS	44350	05/15/2021	06/24/2021	0.107	1.01e-05	0.197	0.096	0.0002977194997096966	0.03585803982093054	4216	1089	77	1434	128.34	0.039832217572414175	0.1225819939594136	0.8375857884681722
NETHERLANDS	44357	05/22/2021	07/01/2021	0.12	6.4e-06	0.233	0.097	0.00038906294415679265	0.03652279638621053	3764	668	125	2669	92.12	0.03814737896490461	0.21369723879223496	0.7481553822428605
NETHERLANDS	44364	05/29/2021	07/08/2021	0.125	4.9e-06	0.27	0.098	0.0005265335655135738	0.036960058571147376	3280	413	218	3996	83.61	0.03257342654698836	0.34869105513107895	0.6187355183219327
NETHERLANDS	44371	06/05/2021	07/15/2021	0.118	4.1e-06	0.308	0.099	0.0010017762892012513	0.03724592089303804	2750	265	449	4782	152.54	0.021996620228338704	0.594268227906822	0.3837351518648393
NETHERLANDS	44378	06/12/2021	07/22/2021	0.119	6.4e-06	0.348	0.1	0.0021143814760002876	0.0374514498763242	2148	125	668	4543	226.73	0.008419711246177991	0.8151689805161519	0.17641130823767007
NETHERLANDS	44385	06/19/2021	07/29/2021	0.123	1.53e-05	0.389	0.102	0.003663353969750391	0.037605995028553774	1501	44	954	3807	263.63	0.003912841956145177	0.9105925888338737	0.0854945692099811
NY	44325	04/20/2021	05/30/2021	0.067	3.77e-05	0.388	0.056	3.327222357401086e-05	0.004607821678417534	2160	637	23	95	68.7	0.4187687539958057	0.024817352107659982	0.5564138938965343
NY	44332	04/27/2021	06/06/2021	0.072	2.53e-05	0.417	0.056	4.3534080733836866e-05	0.004836967686171813	1761	366	37	135	51.75	0.40037059521488816	0.03271956547734873	0.5669098393077631
NY	44339	05/04/2021	06/13/2021	0.08	2.09e-05	0.442	0.057	5.555573943247257e-05	0.005010876718713803	1564	226	53	182	37.87	0.3963676475817455	0.04626113948753528	0.5573712129307192
NY	44346	05/11/2021	06/20/2021	0.091	1.64e-05	0.465	0.057	6.952478286085758e-05	0.005135764853255542	1415	147	65	253	27.18	0.3864993748426082	0.08951747226385981	0.5239831528935319
NY	44353	05/18/2021	06/27/2021	0.11	2e-05	0.484	0.057	8.559129331009888e-05	0.005219651880920885	1123	82	67	394	18.53	0.368214952048917	0.1855638686064312	0.44622117934465183
NY	44360	05/25/2021	07/04/2021	0.128	2.17e-05	0.501	0.057	0.00010492763043315595	0.00527107224573488	844	51	75	756	12.89	0.337555975562236	0.3129361905451885	0.3495078338925755
NY	44367	06/01/2021	07/11/2021	0.14	3.23e-05	0.516	0.057	0.0001300678490183928	0.005300219062088033	549	27	107	1407	10.17	0.27158765418146774	0.4805395430816824	0.24787280273684992
USA	44323	04/18/2021	05/28/2021	0.07	1.4e-06	0.371	0.098	6.907820753777102e-05	0.007566024186544272	51009	14744	536	2547	119.42	0.3036492163190937	0.02042656684027151	0.6759242168406348
USA	44330	04/25/2021	06/04/2021	0.079	1e-06	0.396	0.099	9.035338615097351e-05	0.008075192384537064	48061	10862	785	4226	96.25	0.302656679963594	0.03159497177089083	0.6657483482655151
USA	44337	05/02/2021	06/11/2021	0.09	9e-07	0.418	0.1	0.0001196895584075089	0.008479290110712877	43101	8719	986	7204	77.45	0.30354608384192294	0.056969288639512186	0.6394846275185648
USA	44344	05/09/2021	06/18/2021	0.099	7e-07	0.436	0.1	0.000162623575702906	0.008786961640085656	36248	7090	1155	11744	61.79	0.30142482105214896	0.11344050164846363	0.5851346772993874
USA	44351	05/16/2021	06/25/2021	0.106	6e-07	0.452	0.1	0.00022272799534397143	0.009013135966533704	27292	5237	1399	18602	50.16	0.2866694686800914	0.21632791303190946	0.49700261828799913
USA	44358	05/23/2021	07/02/2021	0.111	6e-07	0.465	0.101	0.0003082067237214479	0.009172234898612935	18985	3573	1877	30456	43.28	0.2517996796806774	0.35725071470682757	0.39094960561249503
USA	44365	05/30/2021	07/09/2021	0.114	5e-07	0.475	0.101	0.000427154287445645	0.009279727483121062	13427	2304	2923	47890	40.61	0.20578987391643572	0.5134689195094424	0.2807412065741219
USA	44372	06/06/2021	07/16/2021	0.115	6e-07	0.485	0.101	0.0006065078580252045	0.009353147226244172	10118	1536	4918	73765	47.03	0.15185996282405476	0.6790677658182553	0.1690722713576899
CANADA	44309	04/04/2021	05/14/2021	0.063	9.7e-06	0.027	0.031	9.934681844607294e-05	0.004455209818276972	6372	5960	69	788	205.95	0.3825591644013474	0.033010261388885326	0.5844305742097673
CANADA	44316	04/11/2021	05/21/2021	0.048	4.8e-06	0.03	0.032	0.0001518766881562762	0.005253734080394805	6524	4646	166	803	190.61	0.3573057943210668	0.04614014976169905	0.5965540559172342
CANADA	44323	04/18/2021	05/28/2021	0.042	3e-06	0.034	0.033	0.0002134408088232854	0.005982644905484473	7378	3531	314	812	165.34	0.3469435907048882	0.060349281842074165	0.5927071274530377
CANADA	44330	04/25/2021	06/04/2021	0.045	2.4e-06	0.04	0.035	0.0002793991854419603	0.006608531754556085	7838	2705	462	958	137.96	0.33937726087656017	0.08016345883015567	0.5804592802932842
CANADA	44337	05/02/2021	06/11/2021	0.047	1.9e-06	0.049	0.035	0.00034681001686335145	0.007115789321774696	7634	2158	615	1152	108.57	0.3430868246157881	0.09974254323876701	0.5571706321454449
CANADA	44344	05/09/2021	06/18/2021	0.05	1.7e-06	0.067	0.036	0.0004126601723443052	0.00749560138180379	6889	1623	731	1276	79.8	0.3429931237168127	0.1285343731816558	0.5284725031015315
CANADA	44351	05/16/2021	06/25/2021	0.052	2e-06	0.096	0.036	0.0004743354683446525	0.007756800488584875	5575	1090	802	1250	55.36	0.3199674051173762	0.18599833814520483	0.49403425673741896
CANADA	44358	05/23/2021	07/02/2021	0.06	2.6e-06	0.138	0.037	0.000530572605758938	0.007925722634905135	4302	583	797	1194	37.44	0.29025677203710587	0.25615659826716175	0.4535866296957324
CANADA	44365	05/30/2021	07/09/2021	0.079	3.7e-06	0.193	0.037	0.0005830587449072846	0.008032576513042951	3257	265	840	1604	26.62	0.2562937196050989	0.3370652266721457	0.40664105372275544
CANADA	44372	06/06/2021	07/16/2021	0.098	5.5e-06	0.26	0.037	0.0006350455514459215	0.008099189330179068	2538	146	1014	2890	19.42	0.2358215815098067	0.41960411211813575	0.34457430637205755
CANADA	44379	06/13/2021	07/23/2021	0.111	7.5e-06	0.332	0.037	0.000687541064492555	0.008139822356895615	2010	102	1200	5084	15.03	0.21914315883996016	0.5457917329109765	0.23506510824906335
SPAIN	44330	04/25/2021	06/04/2021	0.068	2.13e-05	0.15	0.077	8.99605029921467e-05	0.017695413618210764	3239	2395	34	382	120.01	0.1301046880408897	0.04087843306663047	0.8290168788924798
SPAIN	44337	05/02/2021	06/11/2021	0.065	1.28e-05	0.175	0.078	0.00012829229163458986	0.018326560549740953	3308	2120	63	539	109.84	0.1474514580148657	0.0638925304935942	0.7886560114915401
SPAIN	44344	05/09/2021	06/18/2021	0.076	7.8e-06	0.203	0.078	0.00018508400576050264	0.01888800293384038	3243	1668	98	1066	99.38	0.15504457268854166	0.08708918627524832	0.75786624103621
SPAIN	44351	05/16/2021	06/25/2021	0.083	5.3e-06	0.234	0.079	0.00026470651832294476	0.019367156004496577	2922	1339	156	1989	92.38	0.16288372994542444	0.12098366308154705	0.7161326069730285
SPAIN	44358	05/23/2021	07/02/2021	0.087	3.8e-06	0.27	0.08	0.0003904405428683757	0.01977706257345164	2673	1056	227	2876	98.86	0.16843311136372197	0.18233660431515739	0.6492302843211206
SPAIN	44365	05/30/2021	07/09/2021	0.091	3.3e-06	0.311	0.081	0.0006583844102066878	0.020148323019652286	2551	771	309	3568	131.91	0.1576857190666882	0.3574250176382279	0.4848892632950839
SPAIN	44372	06/06/2021	07/16/2021	0.095	3.2e-06	0.357	0.082	0.001220994214831962	0.020501950206706133	2327	482	415	3796	198.51	0.14404398367520066	0.5307995194188588	0.3251564969059405
SPAIN	44379	06/13/2021	07/23/2021	0.095	3.5e-06	0.404	0.083	0.0022768359973070877	0.02084322762768088	2005	279	629	3969	275.78	0.1266041332056442	0.6523046569805715	0.2210912098137843
SPAIN	44386	06/20/2021	07/30/2021	0.083	5.2e-06	0.451	0.086	0.0038947454887385815	0.021153719429849813	1555	171	1312	3940	355.57	0.10779756941684332	0.7422343914732176	0.1499680391099391
SPAIN	44393	06/27/2021	08/06/2021	0.082	9.2e-06	0.497	0.088	0.006037107364962909	0.02144724170969209	1265	77	2260	3663	419.35	0.08226173352888479	0.8222414872634314	0.09549677920768383
FINLAND	44327	04/22/2021	06/01/2021	0.067	3.21e-05	0.05	0.016	7.880908771951885e-05	0.005881711716686685	731	391	24	182	34.1	0.06511563634758466	0.15140716243850671	0.7834772012139086
FINLAND	44334	04/29/2021	06/08/2021	0.064	1.82e-05	0.063	0.016	0.0001153535216318249	0.006056962806474056	737	276	51	250	30.58	0.04494503866211963	0.21066321118951425	0.7443917501483661
FINLAND	44341	05/06/2021	06/15/2021	0.077	1.15e-05	0.08	0.017	0.00015842324072413934	0.00620620611774217	734	187	97	546	26.62	0.03381609452142664	0.2678045657089972	0.6983793397695762
FINLAND	44348	05/13/2021	06/22/2021	0.089	9.8e-06	0.099	0.017	0.00020776670855780164	0.0063228717347701665	712	121	144	846	22.52	0.02981462058739459	0.3178048593277066	0.6523805200848989
FINLAND	44355	05/20/2021	06/29/2021	0.103	1.52e-05	0.12	0.017	0.0002692061909738801	0.006407262165912804	627	67	187	1216	20.32	0.023790751981290437	0.5054858914192667	0.47072335659944287
FINLAND	44362	05/27/2021	07/06/2021	0.123	3.13e-05	0.143	0.017	0.0003572678589377701	0.006461345676671812	496	29	196	1546	20.94	0.016043962493556246	0.7574053693658956	0.2265506681405481
FINLAND	44369	06/03/2021	07/13/2021	0.13	3.66e-05	0.168	0.017	0.00048120503696653347	0.006494991632294568	354	21	182	1940	24.89	0.014609312849252085	0.8750495942172742	0.11034109293347368
CA	44307	04/02/2021	05/12/2021	0.053	2.5e-05	0.262	0.092	2.517829835080184e-05	0.002022237796652055	2863	3051	30	267	54.57	0.41823209532017647	0.029706141151209196	0.5520617635286144
CA	44314	04/09/2021	05/19/2021	0.042	9.9e-06	0.297	0.092	3.529982249627179e-05	0.00221675463653452	3202	2362	78	309	49.6	0.4036507885384043	0.03707791532896482	0.5592712961326308
CA	44321	04/16/2021	05/26/2021	0.047	6.7e-06	0.331	0.092	4.7154781461665265e-05	0.0023916858500203997	3362	1810	133	472	41.58	0.39797548429763563	0.04123017598000844	0.5607943397223559
CA	44328	04/23/2021	06/02/2021	0.058	4.4e-06	0.361	0.093	6.335461194464039e-05	0.002548050575295761	3560	1425	199	798	38.33	0.38693173851925167	0.051531949972639365	0.561536311508109
CA	44335	04/30/2021	06/09/2021	0.069	3.8e-06	0.388	0.093	8.478935862689743e-05	0.0026862032482467416	3579	1240	241	1322	35.05	0.3716769799450005	0.07803489462949362	0.5502881254255059
CA	44342	05/07/2021	06/16/2021	0.083	3.6e-06	0.413	0.093	0.00011446605117755742	0.0028048952644008952	3362	1055	252	2156	31.39	0.35318018083027836	0.1462655284290871	0.5005542907406345
CA	44349	05/14/2021	06/23/2021	0.093	3.3e-06	0.435	0.093	0.00015576727241969375	0.002901128099356482	2864	878	275	3513	28.45	0.32224037017729046	0.2588376171236673	0.4189220126990423
CA	44356	05/21/2021	06/30/2021	0.105	3.1e-06	0.454	0.093	0.00021834157271979551	0.002977796204925086	2186	667	338	6866	29.07	0.2754728842042032	0.3907470234886518	0.33378009230714495
CA	44363	05/28/2021	07/07/2021	0.11	3e-06	0.469	0.094	0.00029174649963653826	0.0030364684098035276	1677	467	549	12282	26.83	0.22796579541596657	0.533132383617488	0.2389018209665454
