country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	vac_cor	recovered	boosted	delta_recov	omi_recov	omi_count_t1	omi_count_t2	delta_count_t1	delta_count_t2	av_cases	x_delta	x_omi
NORWAY	44569	12/25/2021	01/24/2022	0.121	2.51e-05	0.723	0.373	0.039	0.357	0.039	0.048	2198	3599	1116	49	1539.69	0.08552836094604646	0.9144716390539481
MEXICO	44543	11/29/2021	12/29/2021	0.193	7.34e-05	0.521	0.521	0.01	0.0	0.01	0.0	15	2587	1420	765	17.7	0.6677431569965607	0.33156816564705605
MEXICO	44550	12/06/2021	01/05/2022	0.147	1.31e-05	0.535	0.535	0.01	0.0	0.01	0.0	115	2992	1442	456	27.48	0.4361994006748637	0.5630963497765723
MEXICO	44557	12/13/2021	01/12/2022	0.121	8.7e-06	0.549	0.549	0.011	0.0	0.011	0.0	559	2966	1351	190	64.67	0.24862862344874062	0.7509201167356796
MEXICO	44564	12/20/2021	01/19/2022	0.116	1.88e-05	0.565	0.565	0.011	0.0	0.011	0.001	1410	2598	1229	71	115.89	0.14375380735116272	0.8559916458721648
MEXICO	44571	12/27/2021	01/26/2022	0.106	3.44e-05	0.571	0.571	0.011	0.0	0.011	0.002	2368	2256	882	35	199.72	0.06897803022165733	0.9309668027159576
TURKEY	44552	12/08/2021	01/07/2022	0.167	2.59e-05	0.603	0.377	0.046	0.222	0.046	0.001	48	2012	3536	1010	330.59	0.7561430386944251	0.24336294793846233
TURKEY	44559	12/15/2021	01/14/2022	0.146	9.7e-06	0.606	0.339	0.047	0.26	0.047	0.002	235	1884	3059	306	466.74	0.5323275421820952	0.4671138354560748
TURKEY	44566	12/22/2021	01/21/2022	0.136	1.56e-05	0.609	0.303	0.049	0.299	0.049	0.004	756	1495	2723	92	598.32	0.3534770994359024	0.6459113399539322
TURKEY	44573	12/29/2021	01/28/2022	0.135	5.13e-05	0.611	0.27	0.05	0.33	0.05	0.008	1559	1068	2032	25	738.73	0.171611739013173	0.8280607191069751
BRAZIL	44541	11/27/2021	12/27/2021	0.19	2.55e-05	0.649	0.553	0.009	0.096	0.009	0.0	43	3228	3712	959	26.44	0.8067449545325706	0.19081599164237079
BRAZIL	44548	12/04/2021	01/03/2022	0.171	8.8e-06	0.659	0.552	0.009	0.106	0.009	0.0	189	5025	3165	499	25.3	0.5523230489971375	0.445350954902301
BRAZIL	44555	12/11/2021	01/10/2022	0.161	6.6e-06	0.665	0.548	0.009	0.117	0.009	0.0	503	6324	2548	258	52.96	0.26129883265260656	0.7374840343606223
BRAZIL	44562	12/18/2021	01/17/2022	0.148	1.07e-05	0.671	0.547	0.009	0.128	0.009	0.001	1227	6776	1795	118	124.83	0.10280922264987083	0.8965281860609788
