country	time	freq_delta	freq_omi	x_delta	x_omi	var_d	var_o	R_eff_vac	R_eff_boost	R_eff_delta	R_eff_omi	R_vac	R_boost	R_delta	R_omi	Cov	Cdv	Cob	Cdb	Cod	Cdd	Coo	Cdo	model_x_delta	model_x_omi
SWITZERLAND	44543	0.8845668452277962	0.1154330931001386	0.8847002574475911	0.11529974255240898	1.877750231498451e-05	1.8751498653760326e-05	0.3120517659763841	0.11576967166405057	0.0459583767024262	0.0006160024944803682	0.6629999999999999	0.1495	0.04896996772202585	0.0008433250126370064	0.013904871275163898	0.21003223085158831	0.129179447510389	0.13667223499220957	0.0027023362733683597	0.036026153491820916	0.0004982899620976335	5.1634618609599906e-05	0.872140863726963	0.12785913627303705
SWITZERLAND	44544	0.8704253185320846	0.12957466801518386	0.8704337899543378	0.1295662100456621	2.1476402861296415e-05	2.1449599947096164e-05	0.3078688554413302	0.12319321571137297	0.04848850193695905	0.0009177846741576459	0.6636	0.158	0.04979927191205298	0.0009515465091719398	0.013734322088076636	0.2072326845299467	0.1370261472335219	0.1449993976648266	0.002904372046556792	0.03806274994588987	0.0007437818397055226	7.830818893769959e-05	0.8556430322277992	0.1443569677722008
SWITZERLAND	44545	0.8541963997789676	0.14580359785804842	0.854273335959039	0.14572666404096102	2.453426868883249e-05	2.4506807045612267e-05	0.30357288067687216	0.13064255662229862	0.04929062799567075	0.0010354134353462905	0.6640999999999999	0.16690000000000002	0.05091453164742171	0.0011175681159478216	0.013562414331964756	0.2043607177476543	0.14476980918074328	0.15322519217339073	0.002947500388921126	0.03868748939126898	0.0008387333514492003	8.796862604521715e-05	0.8375360634225985	0.16246393657740155
SWITZERLAND	44546	0.8354995265265741	0.16450047314602642	0.8355383675961734	0.16446163240382658	2.7969469544248978e-05	2.7969469544248974e-05	0.29927286082270854	0.1384626967651452	0.0504025967942103	0.0012159957063923705	0.6648000000000001	0.17550000000000002	0.05200017676637327	0.0013028779163416493	0.013380479222588223	0.20147618123660158	0.1528756977089602	0.16183721194760822	0.0030182705253928455	0.039564533544664326	0.000984910421888358	0.00010320785609466113	0.8177630593101672	0.1822369406898328
SWITZERLAND	44547	0.8139843254081487	0.186015674556807	0.8140218303946264	0.18597816960537364	3.1793819889816763e-05	3.17661649400291e-05	0.2963006509326647	0.1461754598650454	0.05148029255241886	0.0014175296470931304	0.6652	0.1807	0.05295334956326278	0.0014905469348150647	0.013255561604659767	0.19948320279864445	0.16069191296276483	0.17015260884350025	0.0030851742936460714	0.040412860397030695	0.0011479841032280107	0.00012015191569612812	0.7962588293917493	0.20374117060825073
SWITZERLAND	44548	0.7894322232986101	0.21056777669855525	0.7894736842105263	0.21052631578947367	3.586446538773065e-05	3.583754562524242e-05	0.2938597786552189	0.15164090363132796	0.052411549412118716	0.001621548428416304	0.6653	0.1832	0.05295334956326278	0.0014905469348150647	0.013110935062452533	0.19780446593553946	0.16533382047929673	0.17514824811072272	0.003138108287347472	0.04114103654684659	0.0013128709519451118	0.00013710741727350397	0.7730224271870372	0.22697757281296285
SWITZERLAND	44549	0.7618720620788698	0.23812793792096917	0.7618627234606047	0.2381372765393953	4.004147297766385e-05	4.004147297766384e-05	0.28921239978583896	0.1553119799627649	0.05230164665061171	0.0016208785679772473	0.6658	0.19149999999999998	0.052953349563262794	0.0014905469348150645	0.012879297898642584	0.19465190908473204	0.16745590255749854	0.17750792777718424	0.0030962430694865643	0.04101948227556292	0.00131059437572182	0.00013531654808415563	0.7482583061342445	0.25174169386575557
SWITZERLAND	44550	0.7316353539491615	0.2683646460508203	0.7316689158794422	0.2683310841205578	4.4158684978687343e-05	4.4158684978687343e-05	0.284612971795649	0.16302785273277395	0.0521898856842994	0.001620145019520884	0.6663	0.2011	0.05474423748491242	0.002050300296378608	0.012696293935078259	0.1915781229957875	0.1749705314152429	0.18552193953954815	0.0030548943388944106	0.04089709713157298	0.0013082926948113176	0.00013354675355508518	0.722047324694397	0.2779526753056029
SWITZERLAND	44551	0.6992984271793959	0.30070157282059207	0.6993374457390907	0.3006625542609093	4.803851558743775e-05	4.803851558743776e-05	0.28009030322957856	0.17173773179932902	0.05402866698613695	0.0022295799659204567	0.6668999999999999	0.21050000000000002	0.05543016446473922	0.0023018990609330043	0.012516615697852153	0.18855590662605867	0.18368459524064978	0.1947997198539111	0.0031908326706676132	0.04236631171032704	0.0018036894978123957	0.00018705025619325763	0.6943966063223046	0.3056033936776954
SWITZERLAND	44552	0.6655322758749618	0.3344677241250371	0.6655092592592593	0.33449074074074076	5.1529325254502606e-05	5.152932525450262e-05	0.2760925458053685	0.18041981344741598	0.05466062191299544	0.0025028882191163488	0.6673	0.2186	0.05635809652577095	0.0027009141586050523	0.012362510873335312	0.18588917507313965	0.19220088286877207	0.20387792488020745	0.0032159148175195675	0.04284961610052078	0.002024251728871544	0.00020944025125796834	0.6655092592592593	0.33449074074074076
