Country	time	s_hat	s_var	x_eff_vac	x_eff_alpha	x_eff_delta	cases	dC_vac	dC_alpha	dC_delta	s_model	s_0	L
FRANCE	44369	0.119	1.27e-05	0.2292644596943388	0.0376892496725311	0.0004148473785732	6.066417489840111	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.1046591742643877	0.03924754409738201	-3.37880640761622
FRANCE	44376	0.105	1.2499999999999999e-05	0.2661460345367996	0.0378999190582363	0.0005158258416303	3.6116549494230368	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11079098606750784	0.03924754409738201	3.3845316382605377
FRANCE	44383	0.097	1.3199999999999999e-05	0.3049738416543638	0.0379587295668508	0.0006731158907522	3.1994749488297587	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11707811063566487	0.03924754409738201	-10.57138737727622
FRANCE	44390	0.092	1.6e-05	0.3452460075630728	0.0378680764140783	0.0009607073748971	4.35295600842455	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.12337175713576504	0.03924754409738201	-26.153325921136943
SWITZERLAND	44343	0.092	3.06e-05	0.171862924544166	0.0168700041369817	7.691343594909095e-05	12.333207962738545	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11647536782263844	0.07570498548232192	-5.5099778674181294
SWITZERLAND	44350	0.115	2.8899999999999998e-05	0.2012507413480505	0.0176056553831675	0.0001015007582804	9.919690151814688	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.12183559196047558	0.07570498548232192	3.4984994525414836
SWITZERLAND	44357	0.135	2.4100000000000003e-05	0.2325978709137165	0.0181114429834785	0.0001257972018922	7.770643867117573	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.1273472011405291	0.07570498548232192	3.18266247732337
SWITZERLAND	44364	0.145	2.26e-05	0.265400817000079	0.0185387814812025	0.0001658872503236	4.8367883679341634	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.13302536558619638	0.07570498548232192	1.2574553027213122
SWITZERLAND	44371	0.144	2.27e-05	0.2998024287453761	0.0187974950700574	0.0002058516052405	2.9292659716133125	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.13884104686880178	0.07570498548232192	3.841405265694582
SWITZERLAND	44378	0.144	2.43e-05	0.3363704240936369	0.0189585420350556	0.0002567098472243	1.7927842070684694	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.1449303732283833	0.07570498548232192	4.375767987392435
IRELAND	44322	0.04	5.55e-05	0.092742186224962	0.0243819946987928	2.9284807133066244e-05	8.684694708146093	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.0803929170506377	0.04699989637517911	-10.718363484055462
IRELAND	44329	0.052	3.56e-05	0.109646371599303	0.0248054204261625	4.1503035471549626e-05	8.736873116560144	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08347814622499349	0.04699989637517911	-9.714121378798605
IRELAND	44336	0.074	2.93e-05	0.1278338900647227	0.025160247883549	5.604784990865252e-05	8.605423664593982	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08672127002467775	0.04699989637517911	1.5384067584013676
IRELAND	44343	0.091	2.59e-05	0.1549362739513625	0.0254406528330108	7.536793473631313e-05	8.514111449869393	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09137122690386518	0.04699989637517911	4.359034848024074
IRELAND	44350	0.106	2.3899999999999998e-05	0.1767598514700614	0.0256153483055293	0.0001084664306932	8.410758063972334	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09506131555850258	0.04699989637517911	1.8986386604372356
IRELAND	44357	0.12	2.17e-05	0.1999152260300799	0.0256492334485373	0.0001800941368685	7.78662402486582	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09883020575393059	0.04699989637517911	-5.876111007097434
IRELAND	44364	0.13	1.81e-05	0.239705518072622	0.0255167852525916	0.0003148737940311	7.1233561794487725	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.10515389864697071	0.04699989637517911	-12.512419677640313
IRELAND	44371	0.119	1.79e-05	0.2840195819706916	0.0252593534181748	0.000514429550349	6.349710931617386	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11206919625950788	0.04699989637517911	3.2046275488731197
IRELAND	44378	0.108	1.92e-05	0.3282658843513214	0.0248964421322223	0.0008431133337053	7.383244790587979	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11877608652110097	0.04699989637517911	1.487298046097731
IRELAND	44385	0.11	2.9e-05	0.380599061851799	0.0244395255969527	0.001360353958309	8.514111449869395	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.12657008062853964	0.04699989637517911	-0.4287548250141269
NETHERLANDS	44343	0.098	2.28e-05	0.1270891474523158	0.0329386614755268	0.0001555102982887	25.622348541270437	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09890368598960378	0.05360211913511423	4.407527522362921
NETHERLANDS	44350	0.107	1.81e-05	0.1559595263420359	0.0344278605759985	0.0002201174281109	19.170104117522445	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.10470331549961479	0.05360211913511423	4.395149182876113
NETHERLANDS	44357	0.12	1.4599999999999999e-05	0.1850559302750046	0.0355294712761999	0.0003057719541686	13.92963900389761	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11023207015376163	0.05360211913511423	1.3807562046725703
NETHERLANDS	44364	0.125	1.38e-05	0.2165964023203803	0.0363452925240275	0.0003995219149327	9.621737352628475	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11594259365828988	0.05360211913511423	1.7041415207520165
NETHERLANDS	44371	0.118	1.2499999999999999e-05	0.2520026823228382	0.0369277764933731	0.0005024628157988	6.067922297519597	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.12210685308001705	0.05360211913511423	4.051302734789513
NETHERLANDS	44378	0.119	1.45e-05	0.2895715925303022	0.0373187451386324	0.000646714366715	4.41475484848566	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.12844627471273948	0.05360211913511423	1.5747732504248413
NETHERLANDS	44385	0.123	2.5499999999999996e-05	0.3257999057770243	0.0375976230164679	0.0012807080413169	8.916273328498638	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.1340315017497546	0.05360211913511423	1.9833200519533407
NY	44325	0.067	4.47e-05	0.3325645185302008	0.0042032034969166	2.587040599494845e-05	9.49272988021681	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08033505362947037	0.022514878800236764	2.0997510766136678
NY	44332	0.072	3.38e-05	0.369868874141416	0.0045012123780897	3.5508136913310895e-05	7.447559306852758	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08668543543817277	0.022514878800236764	1.0383198651137366
NY	44339	0.079	2.8899999999999998e-05	0.4045830530788429	0.0047513116105241	4.5242262841941386e-05	5.663263692259822	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09257390899387395	0.022514878800236764	1.1191622912291335
NY	44346	0.091	2.53e-05	0.4363232834220346	0.0049486017757812	5.522685655634044e-05	4.152961037211115	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09793354555632824	0.022514878800236764	3.423334429695724
NY	44353	0.11	2.7400000000000002e-05	0.4652078913278292	0.0051003267735202	6.816033489679084e-05	2.7815111827986483	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.10278672769269952	0.022514878800236764	3.384069009531765
NY	44360	0.128	3.22e-05	0.4990711603919647	0.0052191909939068	8.56694554039341e-05	1.8135017295217737	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.1084303076158352	0.022514878800236764	-1.693950021038674
